task,source_branch,source_dev,source_path,dest_path,file_sha,file_size,file_mode
reminder-service,junteng_dev,junteng,tasks/junteng/reminder-service/docs/task.md,tasks/finalpool/reminder-service/docs/task.md,6d1f79bc7d57d98706b602af5f8a106237707ea8,91,100644
reminder-service,junteng_dev,junteng,tasks/junteng/reminder-service/evaluation/main.py,tasks/finalpool/reminder-service/evaluation/main.py,463abec43dab7601b7bfa2ae5fd495ab258c9e22,279,100644
reminder-service,junteng_dev,junteng,tasks/junteng/reminder-service/preprocess/main.py,tasks/finalpool/reminder-service/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
robots-handler,gyy,gyy,tasks/gyy/robots-handler/docs/agent_system_prompt.md,tasks/finalpool/robots-handler/docs/agent_system_prompt.md,652e53d9c98a2068a4c06b3ecf2df6db6d9b65ed,121,100644
robots-handler,gyy,gyy,tasks/gyy/robots-handler/docs/task.md,tasks/finalpool/robots-handler/docs/task.md,8d146caf4746f561ae0e27cb444a10d86183d006,87,100644
robots-handler,gyy,gyy,tasks/gyy/robots-handler/docs/user_system_prompt.md,tasks/finalpool/robots-handler/docs/user_system_prompt.md,42b2943ce2f0bfaba5a94a6b5a6335839d86e56d,49,100644
robots-handler,gyy,gyy,tasks/gyy/robots-handler/evaluation/main.py,tasks/finalpool/robots-handler/evaluation/main.py,e3d977afa8477964b0a0ab1bd8ee6488df9c1c95,277,100644
robots-handler,gyy,gyy,tasks/gyy/robots-handler/groundtruth_workspace/readme.txt,tasks/finalpool/robots-handler/groundtruth_workspace/readme.txt,66479d87a3417416bad68cb6d11d5f5452e00b64,36,100644
robots-handler,gyy,gyy,tasks/gyy/robots-handler/initial_workspace/readme.txt,tasks/finalpool/robots-handler/initial_workspace/readme.txt,e15fb47910fddcf130933858859b4becc54ed9b3,37,100644
robots-handler,gyy,gyy,tasks/gyy/robots-handler/preprocess/main.py,tasks/finalpool/robots-handler/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
sales-pipeline,lueyang-dev,lueyang,tasks/lueyang/sales-pipeline/docs/agent_system_prompt.md,tasks/finalpool/sales-pipeline/docs/agent_system_prompt.md,2dd7a0dc2d72ecc26c5747d30a40ee5de3786708,121,100644
sales-pipeline,lueyang-dev,lueyang,tasks/lueyang/sales-pipeline/docs/task.md,tasks/finalpool/sales-pipeline/docs/task.md,683835d0289a34bbda8e6abd902eae10a552aa07,87,100644
sales-pipeline,lueyang-dev,lueyang,tasks/lueyang/sales-pipeline/evaluation/main.py,tasks/finalpool/sales-pipeline/evaluation/main.py,bef059eca8e7d6055ae90d8d89af5eec90a8fc64,277,100644
scheduler,wenshuo-dev,wenshuo,tasks/wenshuo/scheduler/docs/agent_system_prompt.md,tasks/finalpool/scheduler/docs/agent_system_prompt.md,edbe02a2f2ad8d2cf334de9e852859aa2f3be8a2,116,100644
scheduler,wenshuo-dev,wenshuo,tasks/wenshuo/scheduler/docs/task.md,tasks/finalpool/scheduler/docs/task.md,7d1a8c3db4db84b67f4c2e5e8a39664187f05bc9,77,100644
scheduler,wenshuo-dev,wenshuo,tasks/wenshuo/scheduler/docs/user_system_prompt.md,tasks/finalpool/scheduler/docs/user_system_prompt.md,5868c0884584cc0a516bb55315534f474a80a7d1,44,100644
scheduler,wenshuo-dev,wenshuo,tasks/wenshuo/scheduler/evaluation/main.py,tasks/finalpool/scheduler/evaluation/main.py,c389fb2e3ac6c75976368a8ac3b13cb9eb0ef62e,272,100644
scheduler,wenshuo-dev,wenshuo,tasks/wenshuo/scheduler/initial_workspace/readme.txt,tasks/finalpool/scheduler/initial_workspace/readme.txt,d6508ec045df9ded70831f2df311c112f4dec8b5,32,100644
search-engine,wenshuo-dev,wenshuo,tasks/wenshuo/search-engine/docs/agent_system_prompt.md,tasks/finalpool/search-engine/docs/agent_system_prompt.md,ee8bd1152adaa1febee6a545afe869f82218066d,120,100644
search-engine,wenshuo-dev,wenshuo,tasks/wenshuo/search-engine/docs/task.md,tasks/finalpool/search-engine/docs/task.md,373d85d588537e49d0a006a3004ae261dfe44acd,85,100644
search-engine,wenshuo-dev,wenshuo,tasks/wenshuo/search-engine/docs/user_system_prompt.md,tasks/finalpool/search-engine/docs/user_system_prompt.md,920bda31ecd9b20ef8ecab98034443badca8c004,48,100644
search-engine,wenshuo-dev,wenshuo,tasks/wenshuo/search-engine/evaluation/main.py,tasks/finalpool/search-engine/evaluation/main.py,2bbc1fbf452f20340ee486184e43195cbc5a898d,276,100644
search-engine,wenshuo-dev,wenshuo,tasks/wenshuo/search-engine/groundtruth_workspace/readme.txt,tasks/finalpool/search-engine/groundtruth_workspace/readme.txt,3a498c55ca910a6ba023467dcc39471debdf8e5c,35,100644
search-engine,wenshuo-dev,wenshuo,tasks/wenshuo/search-engine/initial_workspace/readme.txt,tasks/finalpool/search-engine/initial_workspace/readme.txt,82aad236774f14678654ac72ce6115319d3158ab,36,100644
search-engine,wenshuo-dev,wenshuo,tasks/wenshuo/search-engine/preprocess/main.py,tasks/finalpool/search-engine/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
security-scanner,xiaochen_dev,xiaochen,tasks/xiaochen/security-scanner/docs/agent_system_prompt.md,tasks/finalpool/security-scanner/docs/agent_system_prompt.md,e745356d4926ddb8bc3e5c0b962d40db2fee99ba,123,100644
security-scanner,xiaochen_dev,xiaochen,tasks/xiaochen/security-scanner/docs/task.md,tasks/finalpool/security-scanner/docs/task.md,1199f9a9047109e31a6032683e31b83e2758b0e7,91,100644
security-scanner,xiaochen_dev,xiaochen,tasks/xiaochen/security-scanner/evaluation/main.py,tasks/finalpool/security-scanner/evaluation/main.py,aa598887d36c39d12ee0900fd4e80f42647d40ef,279,100644
security-scanner,xiaochen_dev,xiaochen,tasks/xiaochen/security-scanner/groundtruth_workspace/readme.txt,tasks/finalpool/security-scanner/groundtruth_workspace/readme.txt,8c0812f9acde523b2ec33a95b11ea343a4923a5c,38,100644
security-scanner,xiaochen_dev,xiaochen,tasks/xiaochen/security-scanner/initial_workspace/readme.txt,tasks/finalpool/security-scanner/initial_workspace/readme.txt,78119296337a3f0852b581afc89b037810e9ce26,39,100644
sentiment-analyzer,lv,lv,tasks/lv/sentiment-analyzer/docs/agent_system_prompt.md,tasks/finalpool/sentiment-analyzer/docs/agent_system_prompt.md,15552e6fa79e783c9a3f6ffe95201998693e3110,125,100644
sentiment-analyzer,lv,lv,tasks/lv/sentiment-analyzer/docs/task.md,tasks/finalpool/sentiment-analyzer/docs/task.md,8fae54191c25c52f8dc5c55760896acb756cec57,95,100644
sentiment-analyzer,lv,lv,tasks/lv/sentiment-analyzer/evaluation/main.py,tasks/finalpool/sentiment-analyzer/evaluation/main.py,e1d8d5a33a9891857e36f7798e9d6094546ffd69,281,100644
sentiment-analyzer,lv,lv,tasks/lv/sentiment-analyzer/preprocess/main.py,tasks/finalpool/sentiment-analyzer/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
shipment-tracker,junteng_dev,junteng,tasks/junteng/shipment-tracker/docs/agent_system_prompt.md,tasks/finalpool/shipment-tracker/docs/agent_system_prompt.md,8ffb5d89c371aa407343c2939c66801f06efedc0,123,100644
shipment-tracker,junteng_dev,junteng,tasks/junteng/shipment-tracker/docs/task.md,tasks/finalpool/shipment-tracker/docs/task.md,514db2bd7b8dc61995970cd1e2e3041c9f06def9,91,100644
shipment-tracker,junteng_dev,junteng,tasks/junteng/shipment-tracker/evaluation/main.py,tasks/finalpool/shipment-tracker/evaluation/main.py,62b0f5dee47a625768c19307ea01c59439a65d90,279,100644
social-connector,junxian_dev,junxian,tasks/junxian/social-connector/docs/agent_system_prompt.md,tasks/finalpool/social-connector/docs/agent_system_prompt.md,6677eb21c0757b4308632f5b919a5f039c36d39e,123,100644
social-connector,junxian_dev,junxian,tasks/junxian/social-connector/docs/task.md,tasks/finalpool/social-connector/docs/task.md,556cef93dcb1ee0ada8d6dc0349f5eda07134ef8,91,100644
social-connector,junxian_dev,junxian,tasks/junxian/social-connector/docs/user_system_prompt.md,tasks/finalpool/social-connector/docs/user_system_prompt.md,4ac3b3bce4c143a26182f6d83c66a2a142b073d0,51,100644
social-connector,junxian_dev,junxian,tasks/junxian/social-connector/evaluation/main.py,tasks/finalpool/social-connector/evaluation/main.py,f7a497dc80a9bda0c4002fa777ec1d578f76c3ca,279,100644
social-connector,junxian_dev,junxian,tasks/junxian/social-connector/groundtruth_workspace/readme.txt,tasks/finalpool/social-connector/groundtruth_workspace/readme.txt,507f1bb35ec304a17910ec80e16bc1509d1bdda1,38,100644
social-connector,junxian_dev,junxian,tasks/junxian/social-connector/initial_workspace/readme.txt,tasks/finalpool/social-connector/initial_workspace/readme.txt,6e3d26684d34d27b70ba68e31971354a89b49e51,39,100644
social-connector,junxian_dev,junxian,tasks/junxian/social-connector/preprocess/main.py,tasks/finalpool/social-connector/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
social-publisher,gyy,gyy,tasks/gyy/social-publisher/docs/agent_system_prompt.md,tasks/finalpool/social-publisher/docs/agent_system_prompt.md,9cd9ceb6a1c32565473edc6d9e50f4418e4b8c9c,123,100644
social-publisher,gyy,gyy,tasks/gyy/social-publisher/docs/task.md,tasks/finalpool/social-publisher/docs/task.md,de9b502f7043c52a7149825db48ce07bc1d98e65,91,100644
social-publisher,gyy,gyy,tasks/gyy/social-publisher/evaluation/main.py,tasks/finalpool/social-publisher/evaluation/main.py,9afe0bc2d3bb40a16b57afc938ad146054d0e9f1,279,100644
social-publisher,gyy,gyy,tasks/gyy/social-publisher/initial_workspace/readme.txt,tasks/finalpool/social-publisher/initial_workspace/readme.txt,a85c0f309aeb3838e34de8c3cbc7c5de259fcd7d,39,100644
social-publisher,gyy,gyy,tasks/gyy/social-publisher/preprocess/main.py,tasks/finalpool/social-publisher/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
status-checker,xiaochen_dev,xiaochen,tasks/xiaochen/status-checker/docs/agent_system_prompt.md,tasks/finalpool/status-checker/docs/agent_system_prompt.md,b36bad0d786965dffa8037205cba681e9dffccd7,121,100644
status-checker,xiaochen_dev,xiaochen,tasks/xiaochen/status-checker/docs/task.md,tasks/finalpool/status-checker/docs/task.md,101ffe053a4d3535adcf41cafaa95d9cb451cc38,87,100644
status-checker,xiaochen_dev,xiaochen,tasks/xiaochen/status-checker/docs/user_system_prompt.md,tasks/finalpool/status-checker/docs/user_system_prompt.md,a9306a97582404e8a102d9aad58e199f5f64d334,49,100644
status-checker,xiaochen_dev,xiaochen,tasks/xiaochen/status-checker/evaluation/main.py,tasks/finalpool/status-checker/evaluation/main.py,c2ba975d4a28b2ba149ea3c1c4884db0d958b139,277,100644
status-checker,xiaochen_dev,xiaochen,tasks/xiaochen/status-checker/preprocess/main.py,tasks/finalpool/status-checker/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
storage-manager,zhaochen,zhaochen,tasks/zhaochen/storage-manager/docs/agent_system_prompt.md,tasks/finalpool/storage-manager/docs/agent_system_prompt.md,d83b07e5e019733b19e4d94f6ee8a73b0832a566,122,100644
storage-manager,zhaochen,zhaochen,tasks/zhaochen/storage-manager/docs/task.md,tasks/finalpool/storage-manager/docs/task.md,3534c551a2f4a888e9fadc7807cd26ece92ee362,89,100644
storage-manager,zhaochen,zhaochen,tasks/zhaochen/storage-manager/evaluation/main.py,tasks/finalpool/storage-manager/evaluation/main.py,9638a4f0c65187073d51bbf4aab98a36d6341647,278,100644
streaming-service,haoze,haoze,tasks/haoze/streaming-service/docs/agent_system_prompt.md,tasks/finalpool/streaming-service/docs/agent_system_prompt.md,5b6e38e19b61e201d448cacb4d305a96df3742bd,124,100644
streaming-service,haoze,haoze,tasks/haoze/streaming-service/docs/task.md,tasks/finalpool/streaming-service/docs/task.md,0a07c6b3472f2d4d6cff00f2b0a910730b328e92,93,100644
streaming-service,haoze,haoze,tasks/haoze/streaming-service/docs/user_system_prompt.md,tasks/finalpool/streaming-service/docs/user_system_prompt.md,321dc50395f6dca824d87a34c707267ec051a1be,52,100644
streaming-service,haoze,haoze,tasks/haoze/streaming-service/evaluation/main.py,tasks/finalpool/streaming-service/evaluation/main.py,454d9cfac1db0f95c1e504231389d03141a89521,280,100644
streaming-service,haoze,haoze,tasks/haoze/streaming-service/groundtruth_workspace/readme.txt,tasks/finalpool/streaming-service/groundtruth_workspace/readme.txt,0fc39c49c7cf48fec8744bd2b471bc453ccdd415,39,100644
subtitle-generator,haoze,haoze,tasks/haoze/subtitle-generator/docs/agent_system_prompt.md,tasks/finalpool/subtitle-generator/docs/agent_system_prompt.md,c966720ba6f26eed7ade307faaa6059958a87b0b,125,100644
subtitle-generator,haoze,haoze,tasks/haoze/subtitle-generator/docs/task.md,tasks/finalpool/subtitle-generator/docs/task.md,650b51bb511a480b329a512db103f10c17daddce,95,100644
subtitle-generator,haoze,haoze,tasks/haoze/subtitle-generator/docs/user_system_prompt.md,tasks/finalpool/subtitle-generator/docs/user_system_prompt.md,87759b275740731c790fa35e744418b028f75ce7,53,100644
subtitle-generator,haoze,haoze,tasks/haoze/subtitle-generator/evaluation/main.py,tasks/finalpool/subtitle-generator/evaluation/main.py,f79bcbb1b0aaeb17d4aacd6be21239e28b6345ef,281,100644
subtitle-generator,haoze,haoze,tasks/haoze/subtitle-generator/groundtruth_workspace/readme.txt,tasks/finalpool/subtitle-generator/groundtruth_workspace/readme.txt,76df0c8ad9a6eba7fa81e3cbf44ebdc2345b2813,40,100644
subtitle-generator,haoze,haoze,tasks/haoze/subtitle-generator/initial_workspace/readme.txt,tasks/finalpool/subtitle-generator/initial_workspace/readme.txt,83a4d84b908998328e45ee890e19f9230b12f2d6,41,100644
survey-builder,lv,lv,tasks/lv/survey-builder/docs/agent_system_prompt.md,tasks/finalpool/survey-builder/docs/agent_system_prompt.md,435baa2f8abc154ad1039251da9f0466fcb0a744,121,100644
survey-builder,lv,lv,tasks/lv/survey-builder/docs/task.md,tasks/finalpool/survey-builder/docs/task.md,fcca3086fdd19f0ef995163008f4d36009774043,87,100644
survey-builder,lv,lv,tasks/lv/survey-builder/evaluation/main.py,tasks/finalpool/survey-builder/evaluation/main.py,520d991dceeaf0a2de4c28e8f52b712441c5c672,277,100644
survey-builder,lv,lv,tasks/lv/survey-builder/initial_workspace/readme.txt,tasks/finalpool/survey-builder/initial_workspace/readme.txt,f638bdb4d0e138bdadd128aeae1fa76b2c46b8a5,37,100644
sync-service,yuxuan-dev,yuxuan,tasks/yuxuan/sync-service/docs/agent_system_prompt.md,tasks/finalpool/sync-service/docs/agent_system_prompt.md,e1c110f16b47ce65c12475739ca4967edef6b800,119,100644
sync-service,yuxuan-dev,yuxuan,tasks/yuxuan/sync-service/docs/task.md,tasks/finalpool/sync-service/docs/task.md,802dec98162233b2c24bd805e095ba9d25ac3b81,83,100644
sync-service,yuxuan-dev,yuxuan,tasks/yuxuan/sync-service/docs/user_system_prompt.md,tasks/finalpool/sync-service/docs/user_system_prompt.md,394e058bf842a7bbe4345d5a88b8a880f5db9fc5,47,100644
sync-service,yuxuan-dev,yuxuan,tasks/yuxuan/sync-service/evaluation/main.py,tasks/finalpool/sync-service/evaluation/main.py,af455e2de59a88ae4812da54dd9208cb03c9060a,275,100644
sync-service,yuxuan-dev,yuxuan,tasks/yuxuan/sync-service/initial_workspace/readme.txt,tasks/finalpool/sync-service/initial_workspace/readme.txt,070a1eb940097f296b31528e6b0bf1cb24b4bc6a,35,100644
tag-manager,gyy,gyy,tasks/gyy/tag-manager/docs/agent_system_prompt.md,tasks/finalpool/tag-manager/docs/agent_system_prompt.md,3eacf7cb439f05c833d6a2809dea00232e4af6fe,118,100644
tag-manager,gyy,gyy,tasks/gyy/tag-manager/docs/task.md,tasks/finalpool/tag-manager/docs/task.md,f555002f3bcb89ff0033ced12b0260e90b2d1fe8,81,100644
tag-manager,gyy,gyy,tasks/gyy/tag-manager/docs/user_system_prompt.md,tasks/finalpool/tag-manager/docs/user_system_prompt.md,34c7f0234d5d54744b5827d82e7ae536e245888e,46,100644
tag-manager,gyy,gyy,tasks/gyy/tag-manager/evaluation/main.py,tasks/finalpool/tag-manager/evaluation/main.py,8bd4e95aff00bd84a64b83159054fb2c9235087b,274,100644
tag-manager,gyy,gyy,tasks/gyy/tag-manager/groundtruth_workspace/readme.txt,tasks/finalpool/tag-manager/groundtruth_workspace/readme.txt,f3729197b2d58a26e5cffe60d5712bd70b2d1401,33,100644
tag-manager,gyy,gyy,tasks/gyy/tag-manager/initial_workspace/readme.txt,tasks/finalpool/tag-manager/initial_workspace/readme.txt,76e79ade64f6dbb4740668b6fff3035326fdcc57,34,100644
tag-manager,gyy,gyy,tasks/gyy/tag-manager/preprocess/main.py,tasks/finalpool/tag-manager/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
task-scheduler,yuxuan-dev,yuxuan,tasks/yuxuan/task-scheduler/docs/agent_system_prompt.md,tasks/finalpool/task-scheduler/docs/agent_system_prompt.md,a23389721fb17bbca0c98f786025f0a55cac0374,121,100644
task-scheduler,yuxuan-dev,yuxuan,tasks/yuxuan/task-scheduler/docs/task.md,tasks/finalpool/task-scheduler/docs/task.md,0df5feb41d8e485181589d629e13008ca6b8a843,87,100644
task-scheduler,yuxuan-dev,yuxuan,tasks/yuxuan/task-scheduler/evaluation/main.py,tasks/finalpool/task-scheduler/evaluation/main.py,07f1544b37d8c9e252cd49831d4f8f126deabf1b,277,100644
template-engine,zhaochen,zhaochen,tasks/zhaochen/template-engine/docs/agent_system_prompt.md,tasks/finalpool/template-engine/docs/agent_system_prompt.md,f8ebcb9a7522610c646696f1886e73a93dc4303e,122,100644
template-engine,zhaochen,zhaochen,tasks/zhaochen/template-engine/docs/task.md,tasks/finalpool/template-engine/docs/task.md,639da1accc77ad51ec2b00e1db57e01cee30638d,89,100644
template-engine,zhaochen,zhaochen,tasks/zhaochen/template-engine/evaluation/main.py,tasks/finalpool/template-engine/evaluation/main.py,e8fc0443dbbf92f6ab126837ba02d9981b8c3d22,278,100644
territory-manager,lueyang-dev,lueyang,tasks/lueyang/territory-manager/docs/agent_system_prompt.md,tasks/finalpool/territory-manager/docs/agent_system_prompt.md,08376b399e30616f77ad99ce9be8e819123c26fb,124,100644
territory-manager,lueyang-dev,lueyang,tasks/lueyang/territory-manager/docs/task.md,tasks/finalpool/territory-manager/docs/task.md,ab21f2198daea50975e01dcdd30a38c7f5cd6767,93,100644
territory-manager,lueyang-dev,lueyang,tasks/lueyang/territory-manager/docs/user_system_prompt.md,tasks/finalpool/territory-manager/docs/user_system_prompt.md,0fbe596d346f5e8a83e6196a4d75436d3a8979f2,52,100644
territory-manager,lueyang-dev,lueyang,tasks/lueyang/territory-manager/evaluation/main.py,tasks/finalpool/territory-manager/evaluation/main.py,1b0b35268d4f3ac1b8669763d24925ad2632ba9c,280,100644
territory-manager,lueyang-dev,lueyang,tasks/lueyang/territory-manager/groundtruth_workspace/readme.txt,tasks/finalpool/territory-manager/groundtruth_workspace/readme.txt,74cde9fbcb835763fd5845ee2a84b21753f7c4e8,39,100644
translation-api,junxian_dev,junxian,tasks/junxian/translation-api/docs/agent_system_prompt.md,tasks/finalpool/translation-api/docs/agent_system_prompt.md,0f764f434788638ec67717e2ef5fe4d533f1a277,122,100644
translation-api,junxian_dev,junxian,tasks/junxian/translation-api/docs/task.md,tasks/finalpool/translation-api/docs/task.md,6e1f7dbd9f10355b889bbd298d4f04184fae2963,89,100644
translation-api,junxian_dev,junxian,tasks/junxian/translation-api/evaluation/main.py,tasks/finalpool/translation-api/evaluation/main.py,9393c988c7ae582066b8ce2ee3bab42ee03ffceb,278,100644
translation-api,junxian_dev,junxian,tasks/junxian/translation-api/initial_workspace/readme.txt,tasks/finalpool/translation-api/initial_workspace/readme.txt,66f7f8d2aa9f3a8e12a8b2ca7596551f6b7b6759,38,100644
translation-api,junxian_dev,junxian,tasks/junxian/translation-api/preprocess/main.py,tasks/finalpool/translation-api/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
video-trimmer,haoze,haoze,tasks/haoze/video-trimmer/docs/agent_system_prompt.md,tasks/finalpool/video-trimmer/docs/agent_system_prompt.md,61294abce5e93ca8ad31b6a6d4b9b731e60f9676,120,100644
video-trimmer,haoze,haoze,tasks/haoze/video-trimmer/docs/task.md,tasks/finalpool/video-trimmer/docs/task.md,4175bc67f11e776b59c8bbc94a08f9215f11eadd,85,100644
video-trimmer,haoze,haoze,tasks/haoze/video-trimmer/evaluation/main.py,tasks/finalpool/video-trimmer/evaluation/main.py,16da2f57072e2c2d5c983149b8010738f912de61,276,100644
video-trimmer,haoze,haoze,tasks/haoze/video-trimmer/initial_workspace/readme.txt,tasks/finalpool/video-trimmer/initial_workspace/readme.txt,fe2b540b9b50a52946134141edc3563c95c5ea07,36,100644
voice-processor,lv,lv,tasks/lv/voice-processor/docs/agent_system_prompt.md,tasks/finalpool/voice-processor/docs/agent_system_prompt.md,18f5747c4501733029338f2a5da8bcce069850da,122,100644
voice-processor,lv,lv,tasks/lv/voice-processor/docs/task.md,tasks/finalpool/voice-processor/docs/task.md,4a07ed721358b824dc6f6f730a1501800a243718,89,100644
voice-processor,lv,lv,tasks/lv/voice-processor/docs/user_system_prompt.md,tasks/finalpool/voice-processor/docs/user_system_prompt.md,93cadbb437abedce8fcb235c4ce1741439bba9a3,50,100644
voice-processor,lv,lv,tasks/lv/voice-processor/evaluation/main.py,tasks/finalpool/voice-processor/evaluation/main.py,2e91016fe65ba9d74a5f491211a477f9a139a305,278,100644
voice-processor,lv,lv,tasks/lv/voice-processor/preprocess/main.py,tasks/finalpool/voice-processor/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
web-crawler,ruige,ruige,tasks/ruige/web-crawler/docs/agent_system_prompt.md,tasks/finalpool/web-crawler/docs/agent_system_prompt.md,22e9cf6d8750db1dbe58a72087f82ad488de9bdf,118,100644
web-crawler,ruige,ruige,tasks/ruige/web-crawler/docs/task.md,tasks/finalpool/web-crawler/docs/task.md,a800d698b1b19229671a2b9b75c5d207c6fda520,81,100644
web-crawler,ruige,ruige,tasks/ruige/web-crawler/evaluation/main.py,tasks/finalpool/web-crawler/evaluation/main.py,7a023f673f868414748f97af8de32d184af6a5c5,274,100644
web-crawler,ruige,ruige,tasks/ruige/web-crawler/initial_workspace/readme.txt,tasks/finalpool/web-crawler/initial_workspace/readme.txt,ccd7abdb50cb8db964e3987e8ef934cbf4381143,34,100644
